,Date,JPYKRW
199,2019-02-18,1018.59
200,2019-02-15,1022.03
201,2019-02-14,1014.9
202,2019-02-13,1014.13
203,2019-02-12,1019.15
204,2019-02-11,1021.23
205,2019-02-08,1024.05
206,2019-02-07,1026.95
207,2019-02-01,1027.45
208,2019-01-31,1024.34
209,2019-01-30,1022.07
210,2019-01-29,1022.24
211,2019-01-28,1022.06
212,2019-01-25,1020.25
213,2019-01-24,1029.47
214,2019-01-23,1029.18
215,2019-01-22,1034.5
216,2019-01-21,1031.15
217,2019-01-18,1026.24
218,2019-01-17,1033.71
219,2019-01-16,1031.57
220,2019-01-15,1036.37
221,2019-01-14,1039.27
222,2019-01-11,1030.14
223,2019-01-10,1035.1
224,2019-01-09,1029.98
225,2019-01-08,1035.74
226,2019-01-07,1034.21
227,2019-01-04,1040.79
228,2019-01-03,1047.23
229,2019-01-02,1028.5
230,2018-12-31,1015.7
231,2018-12-28,1012.37
232,2018-12-27,1012.5
233,2018-12-26,1017.3
234,2018-12-24,1014.64
235,2018-12-21,1010.92
236,2018-12-20,1004.61
237,2018-12-19,1002.8
238,2018-12-18,1005.03
239,2018-12-17,998.98
240,2018-12-14,998.99
241,2018-12-13,991.32
242,2018-12-12,995.55
243,2018-12-11,998.98
244,2018-12-10,1000.67
245,2018-12-07,994.82
246,2018-12-06,994.19
247,2018-12-05,985.57
248,2018-12-04,981.07
249,2018-12-03,979.88
250,2018-11-30,988.29
251,2018-11-29,989.19
252,2018-11-28,991.61
253,2018-11-27,994.59
254,2018-11-26,997.31
255,2018-11-23,1003.72
256,2018-11-22,1000.75
257,2018-11-21,999.25
258,2018-11-20,1004.5
259,2018-11-19,999.34
260,2018-11-16,1000.04
261,2018-11-15,997.22
262,2018-11-14,994.91
263,2018-11-13,995.22
264,2018-11-12,998.99
265,2018-11-09,991.44
266,2018-11-08,982.28
267,2018-11-07,990.37
268,2018-11-06,993.59
269,2018-11-05,992.98
270,2018-11-02,989.51
271,2018-11-01,1004.21
272,2018-10-31,1008.18
273,2018-10-30,1008.94
274,2018-10-29,1016.6
275,2018-10-26,1018.86
276,2018-10-25,1013.04
277,2018-10-24,1006.52
278,2018-10-23,1014.09
279,2018-10-22,1004.21
280,2018-10-19,1007.16
281,2018-10-18,1009.38
282,2018-10-17,1003.96
283,2018-10-16,1002.54
284,2018-10-15,1013.14
285,2018-10-12,1008.99
286,2018-10-11,1017.33
287,2018-10-10,1003.8
288,2018-10-08,1004.37
289,2018-10-05,993.63
290,2018-10-04,990.31
291,2018-10-02,984.18
292,2018-10-01,975.68
293,2018-09-28,979.89
294,2018-09-27,984.38
295,2018-09-21,990.82
296,2018-09-20,997.86
297,2018-09-19,999.24
298,2018-09-18,1002.18
299,2018-09-17,1005.49
300,2018-09-14,999.29
301,2018-09-13,1007.22
302,2018-09-12,1014.25
303,2018-09-11,1013.43
304,2018-09-10,1016.52
305,2018-09-07,1012.29
306,2018-09-06,1009.04
307,2018-09-05,1007.76
308,2018-09-04,1004.45
309,2018-09-03,1001.48
310,2018-08-31,1008.8
311,2018-08-30,997.13
312,2018-08-29,1001.21
313,2018-08-28,996.98
314,2018-08-27,1003.42
315,2018-08-24,1003.64
316,2018-08-23,1012.54
317,2018-08-22,1014.74
318,2018-08-21,1013.91
319,2018-08-20,1015.98
320,2018-08-17,1019.02
321,2018-08-16,1020.47
322,2018-08-14,1018.94
323,2018-08-13,1024.88
324,2018-08-10,1016.97
325,2018-08-09,1007.7
326,2018-08-08,1008.77
327,2018-08-07,1009.64
328,2018-08-06,1010.0
329,2018-08-03,1011.26
330,2018-08-02,1013.78
331,2018-08-01,1000.58
332,2018-07-31,1003.68
333,2018-07-30,1006.44
334,2018-07-27,1007.62
335,2018-07-26,1010.96
336,2018-07-25,1012.83
337,2018-07-24,1018.48
338,2018-07-23,1019.95
339,2018-07-20,1014.98
340,2018-07-19,1006.5
341,2018-07-18,1005.19
342,2018-07-17,1001.47
343,2018-07-16,1004.85
344,2018-07-13,1006.93
345,2018-07-12,1001.02
346,2018-07-11,1009.49
347,2018-07-10,1004.59
348,2018-07-09,1007.29
349,2018-07-06,1010.59
350,2018-07-05,1011.85
351,2018-07-04,1011.04
352,2018-07-03,1007.18
353,2018-07-02,1012.05
354,2018-06-29,1007.46
355,2018-06-28,1020.47
356,2018-06-27,1016.2
357,2018-06-26,1019.28
358,2018-06-25,1017.61
359,2018-06-22,1010.67
360,2018-06-21,1009.07
361,2018-06-20,1005.59
362,2018-06-19,1016.12
363,2018-06-18,999.86
364,2018-06-15,994.84
365,2018-06-14,982.39
366,2018-06-12,977.47
367,2018-06-11,978.48
368,2018-06-08,983.25
369,2018-06-07,972.36
370,2018-06-05,976.61
371,2018-06-04,977.66
372,2018-06-01,980.54
373,2018-05-31,991.36
374,2018-05-30,992.42
375,2018-05-29,991.42
376,2018-05-28,983.4
377,2018-05-25,986.42
378,2018-05-24,985.16
379,2018-05-23,984.85
380,2018-05-21,975.68
381,2018-05-18,974.99
382,2018-05-17,976.29
383,2018-05-16,981.98
384,2018-05-15,976.74
385,2018-05-14,976.67
386,2018-05-11,976.79
387,2018-05-10,980.2
388,2018-05-09,983.82
389,2018-05-08,989.09
390,2018-05-04,989.57
391,2018-05-03,984.53
392,2018-05-02,980.55
393,2018-04-30,978.74
394,2018-04-27,981.3
395,2018-04-26,987.03
396,2018-04-25,991.3
397,2018-04-24,988.85
398,2018-04-23,995.1
399,2018-04-20,994.01
400,2018-04-19,989.52
401,2018-04-18,994.08
402,2018-04-17,998.18
403,2018-04-16,1000.05
404,2018-04-13,992.57
405,2018-04-12,999.77
406,2018-04-11,1001.17
407,2018-04-10,996.92
408,2018-04-09,999.77
409,2018-04-06,996.97
410,2018-04-05,990.28
411,2018-04-04,1002.5
412,2018-04-03,993.84
413,2018-04-02,992.2
414,2018-03-30,1001.18
415,2018-03-29,1001.22
416,2018-03-28,1006.54
417,2018-03-27,1015.75
418,2018-03-26,1026.48
419,2018-03-23,1026.4
420,2018-03-22,1024.81
421,2018-03-21,1009.08
422,2018-03-20,1006.06
423,2018-03-19,1010.97
424,2018-03-16,1009.88
425,2018-03-15,1005.52
426,2018-03-14,999.01
427,2018-03-13,996.58
428,2018-03-12,1001.31
429,2018-03-09,1002.57
430,2018-03-08,1009.94
431,2018-03-07,1013.07
432,2018-03-06,1007.48
433,2018-03-05,1023.91
434,2018-03-02,1028.25
435,2018-02-28,1012.01
436,2018-02-27,1001.59
437,2018-02-26,1004.54
438,2018-02-23,1010.54
439,2018-02-22,1012.14
440,2018-02-21,1000.51
441,2018-02-20,1002.33
442,2018-02-19,1002.86
443,2018-02-14,1006.06
444,2018-02-13,1008.55
445,2018-02-12,998.67
446,2018-02-09,1002.71
447,2018-02-08,994.98
448,2018-02-07,992.82
449,2018-02-06,995.38
450,2018-02-05,993.21
451,2018-02-02,988.85
452,2018-02-01,978.35
453,2018-01-31,981.26
454,2018-01-30,986.61
455,2018-01-29,984.61
456,2018-01-26,975.71
457,2018-01-25,974.9
458,2018-01-24,975.25
459,2018-01-23,974.61
460,2018-01-22,966.75
461,2018-01-19,965.44
