,Date,EURKRW
227,2019-01-04,1282.54
228,2019-01-03,1279.21
229,2019-01-02,1280.55
230,2018-12-31,1278.38
231,2018-12-28,1278.97
232,2018-12-27,1276.28
233,2018-12-26,1281.27
234,2018-12-24,1283.53
235,2018-12-21,1283.62
236,2018-12-20,1286.56
237,2018-12-19,1284.6
238,2018-12-18,1286.11
239,2018-12-17,1283.01
240,2018-12-14,1280.51
241,2018-12-13,1279.13
242,2018-12-12,1280.29
243,2018-12-11,1286.45
244,2018-12-10,1288.12
245,2018-12-07,1276.34
246,2018-12-06,1272.51
247,2018-12-05,1264.32
248,2018-12-04,1262.07
249,2018-12-03,1261.47
250,2018-11-30,1275.49
251,2018-11-29,1275.59
252,2018-11-28,1273.74
253,2018-11-27,1279.61
254,2018-11-26,1283.5
255,2018-11-23,1285.67
256,2018-11-22,1289.39
257,2018-11-21,1288.26
258,2018-11-20,1288.63
259,2018-11-19,1287.38
260,2018-11-16,1283.69
261,2018-11-15,1278.82
262,2018-11-14,1278.53
263,2018-11-13,1277.17
264,2018-11-12,1282.08
265,2018-11-09,1281.19
266,2018-11-08,1275.78
267,2018-11-07,1287.97
268,2018-11-06,1283.95
269,2018-11-05,1278.73
270,2018-11-02,1276.59
271,2018-11-01,1290.77
272,2018-10-31,1292.64
273,2018-10-30,1293.96
274,2018-10-29,1299.65
275,2018-10-26,1296.17
276,2018-10-25,1299.99
277,2018-10-24,1293.27
278,2018-10-23,1304.77
279,2018-10-22,1300.1
280,2018-10-19,1298.41
281,2018-10-18,1306.51
282,2018-10-17,1299.37
283,2018-10-16,1302.06
284,2018-10-15,1314.85
285,2018-10-12,1309.07
286,2018-10-11,1323.35
287,2018-10-10,1306.69
288,2018-10-08,1305.29
289,2018-10-05,1303.81
290,2018-10-04,1300.17
291,2018-10-02,1292.03
292,2018-10-01,1290.45
293,2018-09-28,1287.32
294,2018-09-27,1298.73
295,2018-09-21,1312.22
296,2018-09-20,1316.22
297,2018-09-19,1309.6
298,2018-09-18,1315.81
299,2018-09-17,1314.68
300,2018-09-14,1306.06
301,2018-09-13,1304.23
302,2018-09-12,1308.04
303,2018-09-11,1306.63
304,2018-09-10,1308.4
305,2018-09-07,1299.91
306,2018-09-06,1306.18
307,2018-09-05,1301.52
308,2018-09-04,1292.61
309,2018-09-03,1291.97
310,2018-08-31,1300.55
311,2018-08-30,1297.23
312,2018-08-29,1299.09
313,2018-08-28,1297.24
314,2018-08-27,1296.36
315,2018-08-24,1295.18
316,2018-08-23,1299.07
317,2018-08-22,1299.33
318,2018-08-21,1287.63
319,2018-08-20,1282.96
320,2018-08-17,1283.29
321,2018-08-16,1285.99
322,2018-08-14,1287.35
323,2018-08-13,1296.4
324,2018-08-10,1292.54
325,2018-08-09,1297.09
326,2018-08-08,1298.08
327,2018-08-07,1301.09
328,2018-08-06,1300.02
329,2018-08-03,1306.98
330,2018-08-02,1312.42
331,2018-08-01,1308.53
332,2018-07-31,1313.4
333,2018-07-30,1306.16
334,2018-07-27,1301.35
335,2018-07-26,1313.36
336,2018-07-25,1315.29
337,2018-07-24,1324.35
338,2018-07-23,1330.16
339,2018-07-20,1328.63
340,2018-07-19,1319.0
341,2018-07-18,1317.23
342,2018-07-17,1319.91
343,2018-07-16,1322.57
344,2018-07-13,1319.15
345,2018-07-12,1313.2
346,2018-07-11,1318.63
347,2018-07-10,1308.62
348,2018-07-09,1311.42
349,2018-07-06,1311.8
350,2018-07-05,1310.63
351,2018-07-04,1300.47
352,2018-07-03,1299.42
353,2018-07-02,1303.61
354,2018-06-29,1297.78
355,2018-06-28,1300.07
356,2018-06-27,1300.32
357,2018-06-26,1304.87
358,2018-06-25,1304.11
359,2018-06-22,1296.67
360,2018-06-21,1290.0
361,2018-06-20,1282.88
362,2018-06-19,1287.64
363,2018-06-18,1281.83
364,2018-06-15,1275.72
365,2018-06-14,1264.96
366,2018-06-12,1271.77
367,2018-06-11,1268.82
368,2018-06-08,1264.77
369,2018-06-07,1265.65
370,2018-06-05,1249.16
371,2018-06-04,1254.15
372,2018-06-01,1253.6
373,2018-05-31,1257.97
374,2018-05-30,1256.47
375,2018-05-29,1250.1
376,2018-05-28,1248.51
377,2018-05-25,1259.95
378,2018-05-24,1265.45
379,2018-05-23,1266.04
380,2018-05-21,1277.24
381,2018-05-18,1273.24
382,2018-05-17,1276.23
383,2018-05-16,1273.95
384,2018-05-15,1276.25
385,2018-05-14,1281.96
386,2018-05-11,1275.17
387,2018-05-10,1278.74
388,2018-05-09,1282.18
389,2018-05-08,1280.13
390,2018-05-04,1288.2
391,2018-05-03,1288.93
392,2018-05-02,1292.45
393,2018-04-30,1293.43
394,2018-04-27,1297.36
395,2018-04-26,1314.59
396,2018-04-25,1319.19
397,2018-04-24,1315.75
398,2018-04-23,1317.87
399,2018-04-20,1315.7
400,2018-04-19,1315.02
401,2018-04-18,1320.72
402,2018-04-17,1321.26
403,2018-04-16,1329.15
404,2018-04-13,1316.58
405,2018-04-12,1320.76
406,2018-04-11,1323.56
407,2018-04-10,1319.62
408,2018-04-09,1316.82
409,2018-04-06,1309.04
410,2018-04-05,1299.19
411,2018-04-04,1306.59
412,2018-04-03,1298.3
413,2018-04-02,1302.12
414,2018-03-30,1310.41
415,2018-03-29,1312.89
416,2018-03-28,1324.6
417,2018-03-27,1330.58
418,2018-03-26,1339.39
419,2018-03-23,1331.16
420,2018-03-22,1329.86
421,2018-03-21,1316.15
422,2018-03-20,1316.28
423,2018-03-19,1321.4
424,2018-03-16,1315.27
425,2018-03-15,1316.22
426,2018-03-14,1316.31
427,2018-03-13,1317.56
428,2018-03-12,1312.38
429,2018-03-09,1317.04
430,2018-03-08,1330.24
431,2018-03-07,1329.17
432,2018-03-06,1328.9
433,2018-03-05,1329.7
434,2018-03-02,1333.66
435,2018-02-28,1322.44
436,2018-02-27,1320.44
437,2018-02-26,1322.12
438,2018-02-23,1326.77
439,2018-02-22,1330.83
440,2018-02-21,1323.91
441,2018-02-20,1325.53
442,2018-02-19,1325.74
443,2018-02-14,1331.59
444,2018-02-13,1339.49
445,2018-02-12,1330.37
446,2018-02-09,1336.31
447,2018-02-08,1334.73
448,2018-02-07,1339.27
449,2018-02-06,1342.54
450,2018-02-05,1357.51
451,2018-02-02,1357.04
452,2018-02-01,1334.97
453,2018-01-31,1329.82
454,2018-01-30,1331.69
455,2018-01-29,1326.73
456,2018-01-26,1326.51
457,2018-01-25,1317.93
458,2018-01-24,1318.23
459,2018-01-23,1318.87
460,2018-01-22,1311.73
461,2018-01-19,1309.71
462,2018-01-18,1310.61
463,2018-01-17,1306.49
464,2018-01-16,1302.46
465,2018-01-15,1306.36
466,2018-01-12,1292.27
467,2018-01-11,1286.44
468,2018-01-10,1284.16
469,2018-01-09,1276.88
470,2018-01-08,1280.21
471,2018-01-05,1282.67
472,2018-01-04,1284.37
473,2018-01-03,1282.91
474,2018-01-02,1283.01
475,2017-12-29,1281.99
476,2017-12-28,1278.88
477,2017-12-27,1279.74
478,2017-12-26,1275.01
479,2017-12-22,1279.8
480,2017-12-21,1282.73
481,2017-12-20,1283.57
482,2017-12-19,1283.28
483,2017-12-18,1283.83
484,2017-12-15,1286.69
485,2017-12-14,1288.23
486,2017-12-13,1283.74
487,2017-12-12,1285.02
488,2017-12-11,1287.85
489,2017-12-08,1285.42
490,2017-12-07,1289.05
491,2017-12-06,1291.1
492,2017-12-05,1289.72
493,2017-12-04,1289.99
494,2017-12-01,1292.33
495,2017-11-30,1288.95
496,2017-11-29,1276.62
497,2017-11-28,1285.58
498,2017-11-27,1299.83
499,2017-11-24,1290.0
500,2017-11-23,1286.31
501,2017-11-22,1281.37
502,2017-11-21,1282.91
